employee_id,first_name,last_name,gender,hire_date,termination_date,department,job_level,location
5047,Élise,Barbe,Non-Binary,2022-05-11,,Product,T5,Paris
2794,Martin,Simon,Male,2023-05-30,,Human Resources,T5,Lyon
6593,Timothée,Hamon,Male,2022-09-13,,Data,T2,Paris
8047,Alain,Brunel,Male,2021-10-23,,Sales,T2,Bordeaux
8115,Margaux,Clément,Female,2023-02-23,,Data,T2,Lyon
9719,Astrid,Chauvin,Non-Binary,2022-01-10,,Human Resources,T3,Paris
4795,Corinne,Guillaume,Non-Binary,2021-02-12,,Data,T5,Paris
7913,Christiane,Leroux,Female,2024-06-05,,Data,T4,Lille
3608,André,Costa,Male,2024-06-01,,Engineering,T2,Paris
4904,Émilie,Bourgeois,Non-Binary,2023-01-20,2023-08-09,Finance,T4,Nantes
3416,Margaud,Hervé,Non-Binary,2024-09-07,,Finance,T5,Lille
4823,Lucas,Salmon,Male,2020-10-29,2024-10-04,Product,T5,Limoges
8948,Élisabeth,Poulain,Non-Binary,2021-05-23,,Human Resources,T4,Bordeaux
2032,Sébastien,Lesage,Male,2023-01-15,2023-08-01,Human Resources,T1,Limoges
1529,Caroline,Jean,Female,2022-02-09,2024-02-18,Data,T3,Marseille
9038,Frédéric,Menard,Male,2025-01-13,,Data,T5,Nantes
6112,Marcel,Pascal,Male,2020-11-07,,Finance,T2,Lyon
8557,Aimée,Chauvin,Non-Binary,2021-07-14,,Sales,T1,Marseille
6449,Gabriel,Guibert,Male,2022-04-23,,Human Resources,T3,Limoges
7268,Adèle,Loiseau,Female,2024-02-27,,Product,T4,Paris
4604,Paul,Laporte,Male,2022-08-01,,Finance,T1,Nantes
1406,Adrienne,Pons,Non-Binary,2022-07-07,,Human Resources,T5,Lyon
4012,Suzanne,Picard,Non-Binary,2020-11-29,,Data,T2,Bordeaux
2430,Pauline,Camus,Non-Binary,2021-03-17,,Engineering,T4,Limoges
7162,Hélène,Marie,Female,2025-01-21,,Engineering,T3,Bordeaux
4419,Honoré,Lambert,Male,2024-08-13,,Engineering,T1,Lille
3351,Nathalie,Le Gall,Female,2023-03-22,,Sales,T3,Nantes
7080,Alexandria,Perret,Non-Binary,2023-09-12,,Data,T3,Lyon
2332,Martin,Marin,Male,2023-08-27,,Finance,T5,Limoges
8346,Alphonse,Delaunay,Male,2024-09-26,2025-02-22,Finance,T3,Bordeaux
4935,Tristan,Boyer,Male,2024-02-12,,Finance,T4,Lille
7323,Nathalie,Leroux,Non-Binary,2023-03-02,,Product,T2,Marseille
8921,Anastasie,Moreno,Non-Binary,2021-01-23,,Product,T3,Lyon
6158,Nathalie,Labbé,Non-Binary,2021-08-27,,Engineering,T1,Limoges
9262,Adèle,Coste,Non-Binary,2022-04-25,,Finance,T1,Bordeaux
5546,Georges,Sauvage,Male,2021-02-05,,Human Resources,T5,Nantes
3081,Alain,Le Goff,Male,2025-09-07,2025-09-24,Engineering,T3,Lyon
4253,Amélie,Loiseau,Non-Binary,2025-02-19,2025-05-18,Product,T2,Nantes
7313,Gabriel,Berthelot,Male,2024-09-27,,Product,T4,Paris
1770,Jacques,Guibert,Male,2021-11-14,,Engineering,T3,Marseille
2572,Claire,Martin,Non-Binary,2021-03-29,,Sales,T4,Nantes
2971,Maryse,Bertin,Non-Binary,2021-03-09,,Finance,T2,Paris
2704,Martine,Blondel,Non-Binary,2024-11-27,,Human Resources,T4,Nantes
4196,Élodie,Bertrand,Non-Binary,2022-12-15,,Data,T2,Paris
8272,Étienne,Wagner,Male,2023-02-02,2024-09-18,Data,T3,Bordeaux
5809,Audrey,Adam,Female,2025-07-10,,Finance,T4,Lille
2643,Caroline,Chauvin,Female,2024-04-17,,Engineering,T5,Nantes
6433,Matthieu,Bourgeois,Male,2022-04-01,2023-10-13,Finance,T2,Bordeaux
8966,Léon,Chauvet,Male,2021-08-23,,Engineering,T2,Marseille
4978,Manon,Traore,Female,2024-10-31,,Sales,T1,Limoges
9980,Corinne,Traore,Female,2022-09-29,,Finance,T2,Bordeaux
2327,Dorothée,Philippe,Non-Binary,2024-10-18,,Finance,T1,Marseille
5150,Nath,Gautier,Female,2025-09-14,,Human Resources,T2,Nantes
5714,Chantal,Hervé,Non-Binary,2022-04-24,,Finance,T3,Nantes
4280,Susanne,Barbe,Non-Binary,2022-09-14,,Human Resources,T2,Lyon
5007,Frédéric,Rousseau,Male,2020-11-11,,Sales,T4,Lille
5188,Luce,Rivière,Non-Binary,2022-01-06,,Finance,T1,Limoges
4267,Amélie,Olivier,Female,2023-06-10,,Sales,T1,Paris
4973,Luc,Goncalves,Male,2025-04-18,,Product,T4,Bordeaux
8153,Sébastien,Le Gall,Male,2023-01-06,,Data,T3,Nantes
2929,Gabrielle,Navarro,Non-Binary,2024-06-25,,Human Resources,T1,Nantes
7281,Claire,Michel,Non-Binary,2023-11-13,,Sales,T3,Limoges
1320,Daniel,Thomas,Male,2024-04-21,,Human Resources,T1,Nantes
3780,Henriette,Clément,Female,2024-04-19,,Product,T4,Paris
8581,Élodie,Blot,Female,2024-08-22,2025-01-02,Engineering,T1,Lille
8384,Roland,Mahe,Male,2025-04-17,,Sales,T5,Limoges
4419,Jacqueline,Masson,Female,2021-11-15,,Engineering,T1,Bordeaux
2300,Isaac,Muller,Male,2025-02-16,,Data,T4,Limoges
6245,Madeleine,Traore,Female,2021-01-22,,Data,T5,Paris
1650,Tristan,Bouvet,Male,2023-07-15,2025-02-08,Sales,T3,Limoges
7573,Nath,Bourgeois,Non-Binary,2024-06-01,,Data,T1,Limoges
1497,Christophe,Meunier,Male,2022-10-26,,Data,T2,Nantes
1404,Audrey,Jacquot,Non-Binary,2025-01-26,2025-09-01,Data,T1,Nantes
6767,Georges,Lebreton,Male,2025-08-31,,Engineering,T1,Paris
6834,Antoinette,Morel,Female,2022-07-13,2024-03-08,Sales,T2,Limoges
9745,Timothée,Mallet,Male,2023-05-09,2024-11-08,Finance,T5,Paris
3758,Zoé,Potier,Female,2024-10-28,,Product,T2,Limoges
4197,Jacqueline,Colin,Female,2023-02-14,,Human Resources,T1,Lille
8024,Jeannine,Rocher,Female,2022-01-04,,Sales,T3,Lille
9970,Lucas,Lebrun,Male,2024-08-29,,Finance,T2,Nantes
2094,Alexandria,Ferrand,Female,2022-03-04,,Human Resources,T2,Lyon
8371,Alfred,Benard,Male,2024-05-22,,Sales,T3,Limoges
1094,Isaac,Boulay,Male,2024-12-17,,Sales,T5,Lyon
3467,Noémi,Reynaud,Non-Binary,2022-10-10,2022-11-06,Sales,T3,Lille
7077,Benjamin,Payet,Male,2024-04-25,,Engineering,T4,Limoges
8624,Charlotte,Blanchard,Female,2024-06-09,,Human Resources,T3,Paris
3785,Sabine,Marchand,Non-Binary,2022-09-04,,Engineering,T4,Bordeaux
5776,Valérie,Vincent,Female,2024-07-23,,Engineering,T4,Limoges
4119,Henriette,Morin,Female,2022-02-11,,Engineering,T4,Lyon
3788,Arnaude,Allard,Female,2021-04-05,,Data,T5,Bordeaux
2116,Richard,Giraud,Male,2021-09-03,,Human Resources,T3,Paris
6863,Marie,Pottier,Female,2024-07-09,,Sales,T2,Bordeaux
2252,Gabrielle,Huet,Non-Binary,2021-07-14,,Product,T4,Lille
7365,Paul,Renaud,Male,2021-07-28,,Engineering,T2,Lille
4796,Grégoire,Masse,Male,2023-08-28,2024-02-24,Human Resources,T4,Lyon
6088,Juliette,Allain,Female,2024-05-04,,Engineering,T1,Lyon
6782,Marianne,Louis,Non-Binary,2024-04-01,,Finance,T3,Paris
1462,Adrien,Poulain,Male,2020-12-28,,Engineering,T4,Lyon
5763,Suzanne,Regnier,Female,2023-01-26,,Sales,T4,Marseille
2827,Julien,Leleu,Male,2021-11-16,2023-05-02,Sales,T1,Paris
2184,Aimé,Bouchet,Male,2023-05-04,,Human Resources,T2,Paris
6275,Geneviève,Merle,Non-Binary,2024-03-18,,Engineering,T2,Bordeaux
1166,Robert,Leroux,Male,2024-12-20,,Human Resources,T5,Marseille
1642,Franck,Gilbert,Male,2024-12-17,,Product,T1,Bordeaux
4271,Michelle,Faure,Female,2024-02-23,,Product,T4,Marseille
9354,Henri,Vaillant,Male,2024-02-11,,Engineering,T5,Lille
1848,Noël,Boulanger,Male,2023-03-01,,Engineering,T3,Limoges
4356,Brigitte,Lefort,Female,2024-08-03,,Engineering,T1,Limoges
2524,Aurore,Roche,Non-Binary,2021-02-12,2022-04-10,Engineering,T3,Marseille
6781,Aimée,Clément,Female,2021-07-18,,Product,T3,Lyon
9808,Hélène,Roy,Non-Binary,2023-06-15,2024-10-12,Engineering,T5,Bordeaux
9648,Élisabeth,Potier,Female,2023-09-10,,Sales,T3,Lille
5782,Jeannine,Pons,Female,2024-04-21,,Engineering,T1,Bordeaux
2450,Antoine,Cousin,Male,2023-08-31,,Human Resources,T4,Bordeaux
2861,Camille,Gosselin,Non-Binary,2021-03-01,,Finance,T1,Lille
7477,Odette,Delannoy,Non-Binary,2021-08-17,2025-08-25,Product,T1,Lyon
7035,Nathalie,Guillon,Non-Binary,2025-03-09,,Product,T4,Lyon
4390,Raymond,Fernandes,Male,2021-07-22,,Data,T2,Marseille
4862,Claude,Ferreira,Non-Binary,2020-10-24,2024-04-26,Product,T3,Paris
3477,Julie,Masse,Female,2023-12-22,,Human Resources,T3,Limoges
2757,Madeleine,De Oliveira,Female,2021-12-15,,Engineering,T2,Nantes
7799,Isaac,Gay,Male,2023-11-23,,Data,T5,Paris
4951,Suzanne,Brunet,Non-Binary,2022-08-13,,Engineering,T5,Nantes
4506,Amélie,Launay,Female,2020-10-29,,Sales,T5,Limoges
7711,Claudine,Delattre,Non-Binary,2025-01-08,,Engineering,T2,Nantes
9372,Simone,Pierre,Female,2020-11-07,,Engineering,T2,Bordeaux
6422,Zoé,Leclerc,Non-Binary,2024-03-27,,Sales,T4,Limoges
2618,Gilles,De Oliveira,Male,2024-09-13,,Finance,T5,Marseille
4358,Alex,Becker,Female,2021-10-23,,Sales,T1,Marseille
5527,Olivie,Moreau,Female,2021-04-29,,Finance,T1,Bordeaux
5439,Henri,Henry,Male,2022-06-10,,Sales,T4,Bordeaux
8275,Laetitia,Guibert,Non-Binary,2023-05-21,,Engineering,T5,Paris
1732,Margaret,Guyon,Non-Binary,2023-02-01,,Engineering,T2,Marseille
9302,Camille,Guillou,Female,2024-03-10,,Sales,T4,Marseille
6139,Corinne,Guichard,Female,2023-03-17,2024-12-14,Sales,T5,Lille
6535,Nathalie,Weber,Non-Binary,2025-02-07,,Sales,T4,Limoges
2347,Marcel,Gilbert,Male,2023-09-03,,Product,T1,Nantes
3939,Benjamin,Pelletier,Male,2022-09-11,,Data,T2,Lyon
4557,Thibault,Merle,Male,2021-02-01,,Human Resources,T3,Marseille
5172,Noémi,Gallet,Non-Binary,2024-09-29,,Human Resources,T4,Marseille
8812,Hélène,Gallet,Female,2020-10-20,,Data,T5,Paris
2901,Bernadette,Dupuis,Female,2021-05-27,,Human Resources,T5,Lille
4036,Alex,Bruneau,Female,2024-11-03,,Finance,T5,Bordeaux
4779,Dominique,Le Gall,Female,2022-10-23,,Engineering,T5,Paris
1996,Maggie,Bernier,Non-Binary,2025-05-25,,Finance,T5,Lille
3350,Éléonore,Caron,Non-Binary,2025-03-13,,Sales,T4,Bordeaux
8516,Victoire,Pons,Female,2021-10-05,,Product,T3,Limoges
2121,Joséphine,Adam,Female,2025-07-30,,Human Resources,T2,Nantes
5257,Thérèse,Diallo,Non-Binary,2021-05-01,,Human Resources,T2,Paris
1497,Isabelle,Allard,Non-Binary,2022-11-03,,Sales,T3,Limoges
3325,Madeleine,Rousseau,Non-Binary,2024-11-15,,Sales,T3,Nantes
5582,Michelle,Marchand,Female,2021-06-19,,Human Resources,T4,Paris
1463,Odette,Benoit,Non-Binary,2021-11-03,,Finance,T4,Nantes
6150,Frédérique,Breton,Non-Binary,2020-11-08,,Engineering,T2,Nantes
2928,Jérôme,Rodriguez,Male,2021-08-21,2022-10-09,Engineering,T1,Nantes
6966,Bernard,Blin,Male,2024-10-16,,Engineering,T5,Limoges
2115,Dorothée,Legrand,Non-Binary,2023-10-30,,Engineering,T5,Lyon
3441,Claire,Bernier,Non-Binary,2020-12-27,,Sales,T4,Bordeaux
9883,Timothée,Le Gall,Male,2024-05-24,,Sales,T4,Bordeaux
4512,Aimé,Paris,Male,2022-10-08,,Product,T5,Nantes
7988,Bernadette,Evrard,Non-Binary,2022-02-22,,Human Resources,T3,Nantes
5091,Martine,Royer,Non-Binary,2024-05-18,,Data,T2,Marseille
1057,Victor,Fischer,Male,2023-11-08,2024-06-21,Finance,T5,Nantes
6701,Marianne,Faivre,Female,2021-12-12,,Data,T1,Paris
1638,Vincent,Weiss,Male,2023-03-12,,Finance,T5,Marseille
4688,Dorothée,Giraud,Female,2024-06-15,,Sales,T5,Lille
6170,Valentine,Gimenez,Non-Binary,2022-09-28,,Engineering,T2,Nantes
6731,Océane,Andre,Non-Binary,2023-08-18,,Engineering,T1,Marseille
7455,Noël,Godard,Male,2021-12-22,,Engineering,T2,Lyon
1685,Gabrielle,Dijoux,Female,2023-10-28,,Finance,T1,Nantes
8285,Éric,Benoit,Male,2025-02-20,,Human Resources,T4,Lyon
7365,Matthieu,Lombard,Male,2021-05-21,,Data,T5,Nantes
8067,Emmanuel,Le Goff,Male,2023-06-27,,Sales,T2,Paris
9034,Michèle,Guillou,Non-Binary,2021-08-05,,Engineering,T2,Lyon
5040,Françoise,Morvan,Non-Binary,2021-05-13,,Sales,T4,Bordeaux
9623,Luc,Couturier,Male,2022-05-05,,Engineering,T2,Paris
9352,Claudine,Raynaud,Female,2024-09-20,,Engineering,T4,Lyon
6549,Alphonse,Maury,Male,2023-02-02,,Finance,T4,Bordeaux
7490,Franck,Rousseau,Male,2020-10-02,,Sales,T3,Bordeaux
5459,Matthieu,Navarro,Male,2024-08-01,,Human Resources,T2,Limoges
4135,Daniel,Nicolas,Male,2021-03-31,,Engineering,T2,Paris
3085,Christelle,Besson,Female,2021-12-08,2024-07-09,Sales,T2,Paris
7158,Margot,Bernard,Non-Binary,2022-12-30,,Data,T2,Bordeaux
8886,Arnaude,Fournier,Non-Binary,2021-04-07,,Product,T3,Nantes
9761,Noémi,Maillet,Female,2021-02-08,2024-07-16,Sales,T5,Nantes
1380,Gilles,Schmitt,Male,2022-08-05,,Finance,T2,Bordeaux
9244,Jérôme,Leclercq,Male,2023-03-02,2023-06-16,Product,T5,Limoges
7576,Capucine,Costa,Non-Binary,2022-02-16,,Engineering,T5,Marseille
3295,Timothée,Fleury,Male,2024-02-26,,Engineering,T1,Nantes
3955,Caroline,Fontaine,Non-Binary,2021-09-09,,Sales,T2,Limoges
2265,Honoré,Lombard,Male,2021-11-19,,Finance,T3,Paris
1930,Stéphane,Jacques,Male,2025-05-08,,Sales,T1,Paris
2496,Capucine,Jacquot,Non-Binary,2021-01-11,2024-01-27,Human Resources,T4,Bordeaux
1795,Denis,Bailly,Male,2025-02-26,,Finance,T4,Limoges
5668,Diane,Ribeiro,Female,2021-12-30,,Sales,T4,Bordeaux
3764,Alain,Baron,Male,2024-08-01,2025-05-30,Finance,T5,Paris
1038,Cécile,Lefèvre,Non-Binary,2025-05-03,,Engineering,T2,Nantes
1157,Alphonse,Tessier,Male,2021-08-23,,Sales,T4,Lyon
3150,Monique,Lebrun,Female,2023-03-23,,Engineering,T4,Bordeaux
9534,Sébastien,Grenier,Male,2022-07-22,,Engineering,T2,Lille
5672,Lucy,Grégoire,Female,2024-10-05,,Sales,T3,Lille
4842,Joséphine,Diaz,Female,2022-09-27,,Human Resources,T2,Lyon
4848,Christiane,De Oliveira,Female,2021-07-14,,Engineering,T4,Nantes
3414,Louis,Rousseau,Male,2022-01-15,,Human Resources,T5,Limoges
1241,Laetitia,Lévêque,Non-Binary,2024-02-05,,Sales,T1,Nantes
6794,Dominique,Mendès,Female,2025-05-12,2025-08-09,Human Resources,T5,Marseille
6122,Alex,Millet,Female,2023-09-07,,Sales,T1,Marseille
8686,Émilie,David,Female,2022-07-12,,Data,T5,Limoges
6386,Alexandrie,Maury,Female,2023-05-04,,Human Resources,T2,Limoges
4110,Zacharie,Guillaume,Male,2025-01-09,,Engineering,T2,Lyon
1479,Renée,Fernandez,Female,2022-05-23,,Engineering,T1,Marseille
8268,Marc,Germain,Male,2023-03-13,,Product,T2,Marseille
7930,Chantal,Blondel,Non-Binary,2020-10-27,,Data,T1,Bordeaux
6960,Laure,Pascal,Non-Binary,2025-03-16,,Data,T1,Nantes
7219,Thierry,Devaux,Male,2022-07-24,,Human Resources,T2,Lille
4396,Paul,Couturier,Male,2024-07-14,,Engineering,T5,Marseille
5852,Chantal,Lamy,Female,2023-12-09,,Data,T3,Marseille
5795,Alex,Lefort,Non-Binary,2022-08-12,,Sales,T2,Lille
7171,Sébastien,Marion,Male,2023-04-24,,Human Resources,T5,Paris
2649,Alix,Masson,Female,2023-12-10,,Sales,T5,Paris
2633,Xavier,Lefort,Male,2025-07-01,,Finance,T2,Lyon
5161,Henriette,Perrot,Non-Binary,2023-09-13,,Sales,T3,Lyon
7710,Georges,Weber,Male,2021-06-08,,Sales,T3,Limoges
8113,Mathilde,Fournier,Female,2020-10-22,,Finance,T3,Marseille
7480,Arnaude,Picard,Non-Binary,2023-01-01,,Engineering,T4,Nantes
4531,Emmanuelle,Alves,Non-Binary,2025-04-19,,Finance,T5,Limoges
6935,Anouk,Grégoire,Female,2021-03-08,,Engineering,T5,Nantes
8403,Martine,Breton,Female,2025-09-21,,Finance,T5,Paris
8400,Adrienne,Valentin,Female,2024-02-08,,Data,T3,Lille
1306,Catherine,Camus,Non-Binary,2023-03-28,2025-03-16,Engineering,T1,Bordeaux
4512,Diane,Lejeune,Non-Binary,2025-05-28,,Engineering,T4,Paris
3606,Susanne,Martins,Female,2024-07-18,,Product,T1,Bordeaux
4002,Richard,Julien,Male,2022-03-24,,Human Resources,T1,Lyon
5337,Marianne,Moulin,Non-Binary,2021-08-21,,Engineering,T4,Lyon
7522,Nicolas,Pinto,Male,2021-11-09,,Product,T5,Bordeaux
6856,Aurélie,Rémy,Non-Binary,2023-11-28,,Data,T4,Nantes
5600,Jeanne,Léger,Female,2023-08-26,,Sales,T4,Paris
6162,Camille,Monnier,Female,2021-11-18,2024-06-08,Finance,T2,Bordeaux
5737,Audrey,David,Female,2021-12-21,,Product,T3,Marseille
8263,Catherine,Perrier,Non-Binary,2025-04-19,,Data,T4,Limoges
9518,Josette,Duval,Female,2025-09-03,,Engineering,T2,Nantes
8478,Margaud,Neveu,Non-Binary,2023-03-13,,Data,T3,Bordeaux
9966,Gilles,Pascal,Male,2023-05-12,,Sales,T4,Lille
8949,Alexandre,Cordier,Male,2021-06-29,,Finance,T2,Lille
9186,Élodie,Morel,Female,2023-09-01,,Engineering,T4,Marseille
4116,Henri,Royer,Male,2023-07-15,,Human Resources,T5,Paris
4233,Éléonore,Bonnet,Non-Binary,2023-01-23,2024-02-19,Human Resources,T2,Paris
3985,Zoé,Lefebvre,Female,2024-10-07,,Sales,T1,Lille
6736,Christophe,Pineau,Male,2025-09-17,,Sales,T5,Lyon
6749,Daniel,Guillet,Male,2021-08-04,,Product,T3,Paris
8853,René,Peron,Male,2021-04-06,,Human Resources,T3,Marseille
8717,Jérôme,Foucher,Male,2022-09-05,2024-11-17,Data,T4,Nantes
4008,Margot,Vidal,Non-Binary,2021-05-07,,Product,T4,Nantes
2161,Henriette,Morel,Female,2023-02-10,,Human Resources,T3,Bordeaux
2476,Claudine,Raynaud,Non-Binary,2021-10-05,,Finance,T3,Lyon
8242,Zacharie,Charrier,Male,2023-07-30,,Sales,T2,Bordeaux
9356,Louis,Collin,Male,2025-06-03,,Engineering,T3,Lille
2605,Julie,Lesage,Female,2021-08-22,2023-10-20,Product,T4,Marseille
6502,Christelle,Potier,Female,2024-07-22,,Human Resources,T3,Paris
9783,Pénélope,Mercier,Female,2024-08-22,,Engineering,T2,Lille
2194,Patrick,Louis,Male,2022-02-24,,Engineering,T2,Bordeaux
8924,Maryse,Aubry,Female,2023-06-16,2025-06-29,Sales,T4,Lille
2169,Zoé,Huet,Non-Binary,2023-04-30,,Sales,T3,Nantes
6416,Aimé,Picard,Male,2023-05-04,,Human Resources,T1,Marseille
1080,Noël,Maillot,Male,2021-01-19,,Product,T5,Paris
7447,Charles,Lemonnier,Male,2022-05-19,,Product,T4,Paris
9986,Sophie,Ramos,Non-Binary,2021-07-31,,Engineering,T5,Lyon
2367,Lucas,Guillou,Male,2024-03-30,,Human Resources,T3,Bordeaux
1501,Antoinette,Bonnin,Female,2023-08-12,,Engineering,T2,Nantes
1255,Nicole,Navarro,Non-Binary,2024-02-05,,Human Resources,T1,Paris
2719,Margaud,Gautier,Non-Binary,2024-07-30,,Product,T5,Lille
5372,Adèle,Leconte,Female,2024-09-29,,Finance,T3,Lille
3168,Anaïs,Guichard,Female,2025-07-11,,Product,T3,Lyon
5316,Patricia,Grenier,Female,2022-03-30,2023-09-27,Data,T2,Lyon
4410,Théophile,Hoarau,Male,2022-09-28,,Engineering,T3,Marseille
1671,Joseph,Legros,Male,2022-03-23,,Sales,T4,Bordeaux
8103,Philippe,Duhamel,Male,2022-02-08,,Engineering,T3,Lille
6879,Thérèse,Fernandes,Non-Binary,2022-01-24,,Engineering,T1,Lyon
8965,Pauline,Evrard,Female,2022-10-25,,Human Resources,T5,Lyon
2529,Inès,Monnier,Non-Binary,2022-11-24,2024-12-09,Finance,T2,Marseille
4995,Sylvie,Lamy,Non-Binary,2023-12-13,,Human Resources,T1,Paris
5549,Lorraine,Maury,Non-Binary,2023-04-25,2023-10-31,Data,T3,Lille
1075,David,Roux,Male,2022-10-18,2024-05-28,Human Resources,T2,Limoges
9590,Grégoire,Gauthier,Male,2020-10-11,,Product,T2,Limoges
4798,Amélie,Menard,Female,2023-02-25,2023-07-22,Finance,T2,Nantes
3330,Mathilde,Lévêque,Non-Binary,2020-11-20,,Data,T2,Lille
5809,Sophie,Renard,Non-Binary,2024-02-08,,Data,T1,Bordeaux
5692,Édith,Dupré,Non-Binary,2023-12-21,,Engineering,T5,Lyon
3825,Roger,Clerc,Male,2021-07-04,,Human Resources,T5,Bordeaux
5103,Élise,Renault,Female,2022-09-19,2025-08-03,Human Resources,T1,Marseille
8180,Jean,Bigot,Male,2025-04-08,,Finance,T4,Marseille
9892,Marcelle,Dupont,Non-Binary,2022-08-27,2024-03-17,Engineering,T4,Bordeaux
4566,Isaac,Ramos,Male,2024-01-08,,Sales,T5,Marseille
4810,Jeanne,Thierry,Female,2025-01-31,2025-07-03,Human Resources,T5,Lyon
1792,Marine,Torres,Female,2023-11-03,,Finance,T1,Paris
9115,Madeleine,Blondel,Non-Binary,2024-02-18,,Human Resources,T3,Nantes
3984,Guillaume,Ribeiro,Male,2024-07-16,2025-05-27,Human Resources,T1,Lyon
7133,Alice,Pires,Female,2022-09-17,2022-09-19,Human Resources,T5,Bordeaux
1134,Madeleine,Mendès,Non-Binary,2022-09-09,,Human Resources,T2,Paris
3371,Gérard,Gaillard,Male,2023-05-27,,Finance,T3,Limoges
4935,Juliette,Huet,Non-Binary,2024-04-13,,Data,T5,Nantes
6919,Sylvie,Gaillard,Female,2024-01-29,,Engineering,T1,Marseille
8082,Benoît,Antoine,Male,2021-08-10,,Human Resources,T2,Nantes
6443,Charles,Vallée,Male,2022-07-09,,Data,T4,Limoges
3643,Luc,Chauveau,Male,2023-04-10,,Sales,T4,Lyon
8462,Auguste,Buisson,Male,2022-10-17,,Data,T4,Limoges
9131,Margot,De Sousa,Non-Binary,2025-05-07,,Engineering,T5,Paris
6267,Camille,Lamy,Non-Binary,2021-02-18,,Product,T3,Bordeaux
1633,Laurent,Roussel,Male,2023-11-20,2024-07-30,Sales,T1,Lille
9244,Étienne,Lacombe,Male,2023-08-27,,Finance,T2,Nantes
9927,Astrid,Chartier,Non-Binary,2024-04-09,2024-10-11,Data,T2,Lyon
6689,Suzanne,Hoareau,Non-Binary,2022-04-16,,Human Resources,T2,Marseille
4602,Marthe,Vincent,Female,2022-07-14,,Finance,T1,Bordeaux
8750,Théophile,Blondel,Male,2022-06-03,,Data,T1,Marseille
6354,Anastasie,Sanchez,Non-Binary,2023-11-24,,Sales,T3,Limoges
3953,Nathalie,Carpentier,Female,2021-02-19,,Engineering,T2,Paris
5545,Adèle,Lagarde,Female,2025-07-26,,Data,T2,Lyon
6689,Christelle,Morin,Female,2025-08-20,,Sales,T4,Lyon
6818,Bertrand,Fouquet,Male,2021-05-30,,Engineering,T5,Nantes
6947,Christine,Delattre,Non-Binary,2020-12-27,,Human Resources,T5,Lille
4719,Jules,Bourdon,Male,2021-03-15,2025-03-10,Product,T2,Nantes
7910,Théodore,Tanguy,Male,2025-03-16,,Human Resources,T3,Nantes
3712,Aurore,Morin,Female,2024-04-02,,Human Resources,T4,Lyon
9723,Thérèse,Pelletier,Female,2022-03-12,,Data,T2,Nantes
3308,Camille,Laroche,Female,2023-10-13,,Engineering,T1,Marseille
9663,Éric,Boulay,Male,2021-08-11,,Engineering,T3,Nantes
7672,Margaud,Valette,Female,2021-02-13,,Sales,T2,Marseille
5226,Caroline,Vaillant,Non-Binary,2024-04-16,,Product,T4,Lyon
5650,Odette,Pinto,Non-Binary,2025-09-28,2025-10-01,Data,T2,Paris
1804,Colette,Bouvier,Non-Binary,2020-12-05,,Finance,T2,Paris
4746,Agathe,Torres,Female,2022-10-31,,Engineering,T5,Paris
3109,Danielle,Breton,Non-Binary,2021-02-10,,Engineering,T2,Lille
5067,Margaux,Chauveau,Female,2025-08-02,2025-09-22,Data,T3,Marseille
3576,Jean,Nguyen,Male,2023-11-07,,Product,T4,Nantes
